,Method,Coordinate,MAE,MSE,RMSE
0,P2R,x,0.13503533333333326,0.02440686003333331,0.15622695040655857
1,P2R,y,0.24356733333333333,0.09745247130000001,0.31217378381279876
2,Opt,x,0.21581,0.0713649460333333,0.2671421831784215
3,Opt,y,0.20210333333333338,0.06121003495333337,0.24740661865304528
