,Method,Coordinate,MAE,MSE,RMSE
0,P2R,x,0.0814166666666666,0.007732379166666658,0.08793394774867473
1,P2R,y,0.05823444444444438,0.006853959122222203,0.0827886412632929
2,Opt,x,0.17895555555555567,0.03804440222222225,0.19504974294323552
3,Opt,y,0.16015555555555563,0.04204953111111115,0.20505982324948774
