,Method,Coordinate,MAE,MSE,RMSE
0,P2R,x,0.21612555555555554,0.07576943273703704,0.2752624797117054
1,P2R,y,0.28485222222222234,0.15806552072222238,0.39757454737724646
2,Opt,x,0.41366629629629625,0.2533246029888889,0.5033136228922171
3,Opt,y,0.2215981481481482,0.08701862830740745,0.29498920032334647
