,Method,Coordinate,MAE,MSE,RMSE
0,P2R,x,0.178095925925926,0.046925200062962996,0.21662225200325796
1,P2R,y,0.31038518518518526,0.15402852292592598,0.39246467729711165
2,Opt,x,0.4504033333333333,0.24366532484814818,0.49362468014489325
3,Opt,y,0.19548037037037028,0.06519217588518517,0.25532758543718925
