,Method,Coordinate,MAE,MSE,RMSE
0,P2R,x,0.032330519230769225,0.0034047924933461545,0.05835059976852127
1,P2R,y,0.05968759615384605,0.011266210962499988,0.10614240887835544
2,Opt,x,0.22866226923076927,0.0658683191228077,0.2566482400539846
3,Opt,y,0.1416594230769231,0.03554388215769234,0.1885308520048969
