,,,MAE,Mean,Median,Max,Min
UWB,1,2,0.17477644941402348,0.05093195878589203,0.07032866180890651,0.47036626070507603,0.005039082508916826
UWB,1,3,0.12958628150652624,0.03605627895812101,0.028565455546682994,0.4313593472485362,0.010918135808884788
UWB,2,3,0.14480863296596191,0.00027786207114794466,-0.02783750405693941,0.38157606864338467,0.00024426972007640657
Pixel-to-Real,1,2,0.14323594229660672,0.10251073814613182,0.0928224850307664,0.5316510434895878,0.007665725676660351
Pixel-to-Real,1,3,0.15213703883108118,-0.09327701084237174,-0.06280402855556222,0.4704966683148806,0.010459322541405136
Pixel-to-Real,2,3,0.17689285438941593,-0.12900164085452556,-0.12217187339283009,0.44453053237818985,0.022004052579609024
Optical,1,2,0.049870079817381535,0.0246533496196149,0.005225637516070858,0.22401577604496725,0.0009448011796757694
Optical,1,3,0.16067609182192175,0.1258560951288499,0.009654023962678782,0.9358214375675877,0.0035790096741505906
Optical,2,3,0.19124638884731507,0.17678094711187195,0.012040834235310216,1.5095652475794714,0.00016409570558129083
