,Method,Coordinate,MAE,MSE,RMSE
0,P2R,x,0.05100591584158417,0.00714067468769802,0.08450251290759359
1,P2R,y,0.08143272277227717,0.016356849950990106,0.12789390114853055
2,Opt,x,0.36364634009900987,0.18158492659840933,0.4261278289415153
3,Opt,y,0.20828108910891083,0.08539068893267325,0.29221685258156016
