,Method,Coordinate,MAE,MSE,RMSE
0,UWB,x,0.018739999940787323,0.0006210526774979759,0.024920928503929702
1,UWB,y,0.009978915683037012,0.00015944474203828814,0.012627143067150548
2,P2R,x,0.07503636539058506,0.012307631417246626,0.11093976481517628
3,P2R,y,0.16556855426003653,0.055349542557581344,0.2352648349362508
4,Opt,x,0.19926237356206636,0.04524392882730982,0.21270620307670818
5,Opt,y,0.1830273493781345,0.04766864796153924,0.21833150931906103
