,Method,Coordinate,MAE,MSE,RMSE
0,UWB,x,0.10662866666666666,0.01652997208666666,0.12856893904309338
1,UWB,y,0.1108173333984566,0.03608813599524229,0.18996877636928206
2,P2R,x,0.08702933333333333,0.009383158506666659,0.0968667048405522
3,P2R,y,0.16157933333504268,0.053281870329600745,0.23082866011308203
4,Opt,x,0.201164,0.046442679186666676,0.2155056360902579
5,Opt,y,0.11402866675154039,0.019421075539155817,0.1393595190116406
