,Method,Coordinate,MAE,MSE,RMSE
0,UWB,x,0.16309962962962962,0.040356440514814816,0.20088912492918778
1,UWB,y,0.13661333377965718,0.04711599975052817,0.21706220249165484
2,P2R,x,0.09242296296296294,0.01452249267407407,0.12050930534226006
3,P2R,y,0.20097370397565056,0.07432575255799467,0.2726274978023946
4,Opt,x,0.3162614814814816,0.12245827764444445,0.3499403915589689
5,Opt,y,0.12001222217399779,0.022618117229531647,0.15039320872144343
