,,,MAE,Max,Mean,Median,Min
UWB,1,2,0.050018136184745626,0.12449312829803127,0.02926587280131719,0.015995275628920558,0.012474109827831592
Pixel-to-Real,1,2,0.07915555728625619,0.15239166060455456,0.07656884012809846,0.09922675957093818,0.010275846716201853
Optical,1,2,0.0518258704379499,0.14603347053380822,-0.04199875280870555,-0.04087541949064155,0.01855212735426548
