,Method,Coordinate,MAE,MSE,RMSE
0,P2R,x,0.07586078313253014,0.012540134268975912,0.11198274094241448
1,P2R,y,0.16636698795180738,0.05510529264819287,0.2347451653350775
2,Opt,x,0.19929249397590362,0.045501178824783134,0.2133100532670299
3,Opt,y,0.18420265060240956,0.04819983319518069,0.21954460411310656
