,Method,Coordinate,MAE,MSE,RMSE
0,UWB,x,0.05676666670532127,0.004933643337025514,0.07023989846964127
1,UWB,y,0.05704444444444453,0.0041011333333333365,0.06404009160934529
2,P2R,x,0.0821388888839568,0.008176214712478947,0.09042242372597047
3,P2R,y,0.06814333333333335,0.010277173788888882,0.10137639660635449
4,Opt,x,0.1786555556465059,0.03542252781225803,0.18820873468640617
5,Opt,y,0.13677777777777786,0.02885451333333333,0.1698661630029163
