,,,MAE,Mean,Median,Max,Min
UWB,1,2,0.15098683507346727,0.09672676282344066,0.12674121123351645,0.3702740799393116,0.005039082508916826
UWB,1,3,0.11323066128140787,0.012715112596919405,0.04318691198016866,0.4313593472485362,0.023262553600793545
UWB,2,3,0.12522149267115099,-0.06438637471829566,-0.10381260066988829,0.31789065790279636,0.00024426972007640657
Pixel-to-Real,1,2,0.10624404984218841,0.06648683686136173,0.0928224850307664,0.2551265232198925,0.00795808929708941
Pixel-to-Real,1,3,0.1269823834111983,-0.10866748847513837,-0.04556452879501105,0.3846354413810844,0.010459322541405136
Pixel-to-Real,2,3,0.16681345195553038,-0.13653726252735898,-0.12565552934000657,0.42501300193026736,0.022004052579609024
Optical,1,2,0.02629031485876814,-0.012212198152094355,-0.009637608398255004,0.05267648915158496,0.0009448011796757694
Optical,1,3,0.03301630383957148,-0.020705717723059566,-0.017287706655280122,0.1338469585022608,0.0035790096741505906
Optical,2,3,0.0209418341682089,0.0023524830653357015,-0.002948575123605135,0.07181179130636006,0.00016409570558129083
