,Method,Mean Distance,Median Distance,Max Distance,Min Distance,Std Dev Distance
0,UWB,0.08808553682408643,0.07243983717055642,0.15940087861276447,0.05183753454688819,0.037883759473787554
1,Pixel-to-Real,0.11378338722330462,0.10098428960897607,0.28129418709767706,0.025538402405935665,0.07870876987368859
2,Optical,0.24726146104489985,0.24880072403180822,0.3344304113272965,0.16230209452963126,0.059423584593782726
