,,,MAE,Mean,Median,Max,Min
Pixel-to-Real,1,2,0.1870857006324955,-0.03023992596207893,-0.042243794680942415,0.46637865668536627,0.042243794680942415
Pixel-to-Real,1,3,0.1631827911060231,-0.12138260107205777,-0.13873562266588024,0.48050268568480625,0.004114591199012363
Pixel-to-Real,2,3,0.13223026336142596,-0.07215088780906331,-0.01821575061831915,0.39234506749734355,0.0005468302227542576
Optical,1,2,0.15739702163355065,-0.108938960975535,-0.13278225957598666,0.42295056909089657,0.0029946879623428124
Optical,1,3,0.13518477754348973,-0.03342083031997897,-0.03353288801748988,0.43665816271326996,0.0174894827923735
Optical,2,3,0.11720002463127581,0.06673885778363135,0.09565103703823596,0.31098445932237195,0.004532922771147252
