,Method,Coordinate,MAE,MSE,RMSE
0,UWB,x,0.044476807657670515,0.0029766151065791077,0.054558364221988065
1,UWB,y,0.02177451924035317,0.0009579973357565148,0.030951532042154468
2,P2R,x,0.05401576278532531,0.005387797276257476,0.07340161630548388
3,P2R,y,0.06663480769440631,0.012258534383975514,0.11071826581000767
4,Opt,x,0.21579594243622474,0.05519710796952012,0.23494064775921625
5,Opt,y,0.14035894234075316,0.03483519521490207,0.186641890300388
