,Method,Coordinate,MAE,MSE,RMSE
0,P2R,x,0.14916877777777776,0.035623669427,0.1887423360748722
1,P2R,y,0.37822666666666677,0.3438185912074075,0.586360461838456
2,Opt,x,0.3614835925925926,0.17124639814425924,0.41381928198702783
3,Opt,y,0.645432962962963,1.0504270274407406,1.0249034234701047
