,Method,Coordinate,MAE,MSE,RMSE
0,UWB,x,0.08811706638592899,0.015241474741344428,0.12345636776345086
1,UWB,y,0.09504933333333324,0.010060726426666645,0.10030317256531145
2,P2R,x,0.09740313306370302,0.017617491680402334,0.13273089949368358
3,P2R,y,0.10954666666666663,0.023895316333333323,0.15458109953462396
4,Opt,x,0.19498520055623084,0.04657142366420943,0.2158041326393205
5,Opt,y,0.14345000000000005,0.031848364766666665,0.17846110155063669
