,,,MAE,Mean,Median,Max,Min
Pixel-to-Real,1,2,0.26344251190172985,0.051578779360239774,0.07956426760754476,0.725066057576552,0.042243794680942415
Pixel-to-Real,1,3,0.23249317843709372,-0.12933328980049275,-0.15357183084702886,0.6090781453667073,0.004114591199012363
Pixel-to-Real,2,3,0.1966454432055958,-0.12927950292567347,-0.10383926699378643,0.8261066010215745,0.0005468302227542576
Optical,1,2,0.19243828406056898,-0.026278609166277132,-0.013847295117499492,0.42295056909089657,0.0029946879623428124
Optical,1,3,0.22386971882866671,0.08979981617072888,0.03138756181264846,1.09218521899078,7.796186537767369e-05
Optical,2,3,0.25594403354495626,0.17650308504072398,0.11128203192002939,1.457615850230352,0.004532922771147252
