,Method,Coordinate,MAE,MSE,RMSE
0,UWB,x,0.10952266669526343,0.018488796505971575,0.1359735139869952
1,UWB,y,0.109002,0.014510066073333331,0.12045773563093957
2,P2R,x,0.07961800014657934,0.010716455853941053,0.1035203161410409
3,P2R,y,0.07504333333333335,0.012169433140000002,0.11031515371878879
4,Opt,x,0.2217560001149411,0.0561389972803825,0.23693669466839132
5,Opt,y,0.06705466666666657,0.005791109626666655,0.07609934051400613
