,Method,Mean Distance,Median Distance,Max Distance,Min Distance,Std Dev Distance
0,UWB,0.053645961807128155,0.054791561306354,0.1703854793099656,0.00505285582922947,0.03266470071654829
1,Pixel-to-Real,0.09609085102688794,0.06701411297570099,0.6227652323307717,0.006984239571178226,0.09216592893174953
2,Optical,0.27427083197603397,0.2606725082361337,0.7770207228356114,0.05586616206006844,0.12227664983636105
