,Method,Coordinate,MAE,MSE,RMSE
0,P2R,x,0.13892200000000007,0.030241394140000023,0.17390052944140227
1,P2R,y,0.16441333333333336,0.036080447933333364,0.1899485402242759
2,Opt,x,0.3071173333333333,0.11250029076000002,0.3354106300641052
3,Opt,y,0.11420466666666661,0.017815950593333314,0.13347640463143032
