,,,MAE,Max,Mean,Median,Min
Pixel-to-Real,1,2,0.06936746998008658,0.16238358659879126,0.04730296732678127,0.027898532306523283,0.008792510298929024
Optical,1,2,0.083138874089654,0.1983208110858643,-0.07126462561002274,-0.05458596816225092,0.01529010635317496
