,Method,Coordinate,MAE,MSE,RMSE
0,P2R,x,0.0721399999999999,0.00661561862222221,0.08133645321885022
1,P2R,y,0.05859666666666666,0.004874995655555555,0.06982116910762491
2,Opt,x,0.09718888888888892,0.011489036666666678,0.10718692395374857
3,Opt,y,0.09713333333333324,0.013910128888888866,0.1179412094600054
