,Method,Coordinate,MAE,MSE,RMSE
0,UWB,x,0.14438518838036574,0.03061458231806426,0.17497023266277112
1,UWB,y,0.10753814814814806,0.02322422670740743,0.15239496942946454
2,P2R,x,0.10087667118318487,0.016043614862713225,0.12666339195960774
3,P2R,y,0.23430925925925924,0.11568172470740729,0.34012016215950397
4,Opt,x,0.3194411079956737,0.11931151359210465,0.3454149875035892
5,Opt,y,0.1508822222222219,0.04971277201481469,0.22296361141409307
