,Method,Coordinate,MAE,MSE,RMSE
0,P2R,x,0.0997515333333333,0.01629923996619999,0.12766847679125803
1,P2R,y,0.14510133333333344,0.038763805506666714,0.1968852597495981
2,Opt,x,0.2623861333333334,0.0860776874436,0.29338999206448746
3,Opt,y,0.23849933333333329,0.06751511872666667,0.2598367155093111
