,Method,Coordinate,MAE,MSE,RMSE
0,UWB,x,0.13370651790072363,0.03269787896524291,0.18082554843064327
1,UWB,y,0.11877925925925926,0.02448054838518517,0.15646261018270521
2,P2R,x,0.13020210623649667,0.02586966145486435,0.1608404845020816
3,P2R,y,0.3279370370370372,0.26000155092592614,0.5099034721650032
4,Opt,x,0.26885996878399177,0.08551647625119879,0.2924320027821832
5,Opt,y,0.5383648148148148,0.8774628978333333,0.9367298958789205
