,Method,Coordinate,MAE,MSE,RMSE
0,UWB,x,0.03414444444444441,0.0016229366666666702,0.040285688112115824
1,UWB,y,0.04653333347514918,0.002733686677341524,0.05228466962065959
2,P2R,x,0.09977333333333337,0.01155306817777778,0.10748519980805628
3,P2R,y,0.039285555565835524,0.0022955285564319385,0.04791167453170405
4,Opt,x,0.1255555555555557,0.018018628888888926,0.13423348646626493
5,Opt,y,0.07464444442634674,0.009871364455364044,0.09935474047756375
