,Method,Coordinate,MAE,MSE,RMSE
0,UWB,x,0.09973364948451559,0.026353398446171204,0.1623372983826305
1,UWB,y,0.024827475132384626,0.0013263876333309043,0.03641960506829947
2,P2R,x,0.09903886572039979,0.022991536820066896,0.1516296040358442
3,P2R,y,0.08554217813958252,0.016885828810976986,0.12994548399608577
4,Opt,x,0.34450641006565474,0.1440534020578931,0.3795436760873419
5,Opt,y,0.205910544678959,0.08389763799994274,0.28965088986561516
